sub,relationship,o_none,o_both,o_self,o_other,self_percent,other_percent
1,acq_overlap,52,13,15,34,0.4642857142857143,0.2765957446808511
1,close_overlap,59,19,9,27,0.6785714285714286,0.41304347826086957
1,dislike_overlap,56,3,25,30,0.10714285714285714,0.09090909090909091
2,acq_overlap,71,7,30,6,0.1891891891891892,0.5384615384615384
2,close_overlap,52,31,6,25,0.8378378378378378,0.5535714285714286
2,dislike_overlap,57,3,34,20,0.08108108108108109,0.13043478260869565
3,acq_overlap,54,23,14,23,0.6216216216216216,0.5
3,close_overlap,62,23,14,15,0.6216216216216216,0.6052631578947368
3,dislike_overlap,47,13,24,30,0.35135135135135137,0.3023255813953488
4,acq_overlap,83,2,10,19,0.16666666666666666,0.09523809523809523
4,close_overlap,87,4,8,15,0.3333333333333333,0.21052631578947367
4,dislike_overlap,95,2,10,7,0.16666666666666666,0.2222222222222222
5,acq_overlap,60,8,41,5,0.16326530612244897,0.6153846153846154
5,close_overlap,57,14,35,8,0.2857142857142857,0.6363636363636364
5,dislike_overlap,57,6,43,8,0.12244897959183673,0.42857142857142855
6,acq_overlap,88,5,9,12,0.35714285714285715,0.29411764705882354
6,close_overlap,87,6,8,13,0.42857142857142855,0.3157894736842105
6,dislike_overlap,95,2,12,5,0.14285714285714285,0.2857142857142857
7,acq_overlap,72,10,10,22,0.5,0.3125
7,close_overlap,77,7,13,17,0.35,0.2916666666666667
7,dislike_overlap,74,12,8,20,0.6,0.375
9,acq_overlap,90,2,16,6,0.1111111111111111,0.25
9,close_overlap,79,6,12,17,0.3333333333333333,0.2608695652173913
9,dislike_overlap,85,2,16,11,0.1111111111111111,0.15384615384615385
10,acq_overlap,71,8,15,20,0.34782608695652173,0.2857142857142857
10,close_overlap,66,11,12,25,0.4782608695652174,0.3055555555555556
10,dislike_overlap,68,4,19,23,0.17391304347826086,0.14814814814814814
12,acq_overlap,79,4,31,0,0.11428571428571428,1
12,close_overlap,75,12,23,4,0.34285714285714286,0.75
12,dislike_overlap,65,4,31,14,0.11428571428571428,0.2222222222222222
13,acq_overlap,89,8,11,6,0.42105263157894735,0.5714285714285714
13,close_overlap,70,10,9,25,0.5263157894736842,0.2857142857142857
13,dislike_overlap,67,1,18,28,0.05263157894736842,0.034482758620689655
14,acq_overlap,57,19,11,27,0.6333333333333333,0.41304347826086957
14,close_overlap,56,19,11,28,0.6333333333333333,0.40425531914893614
14,dislike_overlap,56,12,18,28,0.4,0.3
15,acq_overlap,68,8,27,11,0.22857142857142856,0.42105263157894735
15,close_overlap,63,13,22,16,0.37142857142857144,0.4482758620689655
15,dislike_overlap,55,9,26,24,0.2571428571428571,0.2727272727272727
16,acq_overlap,52,5,47,10,0.09615384615384616,0.3333333333333333
16,close_overlap,43,14,38,19,0.2692307692307692,0.42424242424242425
16,dislike_overlap,45,7,45,17,0.1346153846153846,0.2916666666666667
17,acq_overlap,95,3,9,7,0.25,0.3
17,close_overlap,77,6,6,25,0.5,0.1935483870967742
17,dislike_overlap,82,5,7,20,0.4166666666666667,0.2
19,acq_overlap,53,28,21,12,0.5714285714285714,0.7
19,close_overlap,41,21,28,24,0.42857142857142855,0.4666666666666667
19,dislike_overlap,38,16,33,27,0.32653061224489793,0.37209302325581395
20,acq_overlap,88,1,13,12,0.07142857142857142,0.07692307692307693
20,close_overlap,87,7,7,13,0.5,0.35
20,dislike_overlap,87,3,11,13,0.21428571428571427,0.1875
21,acq_overlap,81,2,22,9,0.08333333333333333,0.18181818181818182
21,close_overlap,58,16,8,32,0.6666666666666666,0.3333333333333333
21,dislike_overlap,68,4,20,22,0.16666666666666666,0.15384615384615385
22,acq_overlap,79,5,18,12,0.21739130434782608,0.29411764705882354
22,close_overlap,84,7,16,7,0.30434782608695654,0.5
22,dislike_overlap,73,2,21,18,0.08695652173913043,0.1
23,acq_overlap,70,9,19,16,0.32142857142857145,0.36
23,close_overlap,70,24,4,16,0.8571428571428571,0.6
23,dislike_overlap,52,8,20,34,0.2857142857142857,0.19047619047619047
24,acq_overlap,87,3,14,10,0.17647058823529413,0.23076923076923078
24,close_overlap,84,6,11,13,0.35294117647058826,0.3157894736842105
24,dislike_overlap,80,1,16,17,0.058823529411764705,0.05555555555555555
26,acq_overlap,85,1,23,5,0.041666666666666664,0.16666666666666666
26,close_overlap,77,5,19,13,0.20833333333333334,0.2777777777777778
26,dislike_overlap,84,3,21,6,0.125,0.3333333333333333
29,acq_overlap,50,14,33,17,0.2978723404255319,0.45161290322580644
29,close_overlap,41,21,26,26,0.44680851063829785,0.44680851063829785
29,dislike_overlap,36,14,33,31,0.2978723404255319,0.3111111111111111
31,acq_overlap,61,8,27,18,0.22857142857142856,0.3076923076923077
31,close_overlap,62,16,19,17,0.45714285714285713,0.48484848484848486
31,dislike_overlap,56,9,26,23,0.2571428571428571,0.28125
32,acq_overlap,71,5,33,5,0.13157894736842105,0.5
32,close_overlap,64,8,30,12,0.21052631578947367,0.4
32,dislike_overlap,64,5,33,12,0.13157894736842105,0.29411764705882354
33,acq_overlap,61,5,46,2,0.09803921568627451,0.7142857142857143
33,close_overlap,56,16,35,7,0.3137254901960784,0.6956521739130435
33,dislike_overlap,43,3,48,20,0.058823529411764705,0.13043478260869565
34,acq_overlap,84,9,15,6,0.375,0.6
34,close_overlap,79,14,10,11,0.5833333333333334,0.56
34,dislike_overlap,74,0,24,16,0,0
35,acq_overlap,50,14,27,23,0.34146341463414637,0.3783783783783784
35,close_overlap,57,14,27,16,0.34146341463414637,0.4666666666666667
35,dislike_overlap,56,5,36,17,0.12195121951219512,0.22727272727272727
37,acq_overlap,43,8,51,12,0.13559322033898305,0.4
37,close_overlap,42,42,17,13,0.711864406779661,0.7636363636363637
37,dislike_overlap,39,17,42,16,0.288135593220339,0.5151515151515151
41,acq_overlap,68,9,31,6,0.225,0.6
41,close_overlap,56,24,16,18,0.6,0.5714285714285714
41,dislike_overlap,47,9,31,27,0.225,0.25
42,acq_overlap,102,0,1,11,0,0
42,close_overlap,97,0,1,16,0,0
42,dislike_overlap,107,0,1,6,0,0
43,acq_overlap,66,9,34,5,0.20930232558139536,0.6428571428571429
43,close_overlap,62,12,31,9,0.27906976744186046,0.5714285714285714
43,dislike_overlap,66,3,40,5,0.06976744186046512,0.375
44,acq_overlap,64,3,40,7,0.06976744186046512,0.3
44,close_overlap,61,6,37,10,0.13953488372093023,0.375
44,dislike_overlap,63,4,39,8,0.09302325581395349,0.3333333333333333
45,acq_overlap,77,12,21,4,0.36363636363636365,0.75
45,close_overlap,72,22,11,9,0.6666666666666666,0.7096774193548387
45,dislike_overlap,73,0,33,8,0,0
46,acq_overlap,82,7,19,6,0.2692307692307692,0.5384615384615384
46,close_overlap,78,14,12,10,0.5384615384615384,0.5833333333333334
46,dislike_overlap,80,1,25,8,0.038461538461538464,0.1111111111111111
47,acq_overlap,81,5,28,0,0.15151515151515152,1
47,close_overlap,70,20,13,11,0.6060606060606061,0.6451612903225806
47,dislike_overlap,67,7,26,14,0.21212121212121213,0.3333333333333333
48,acq_overlap,80,5,18,11,0.21739130434782608,0.3125
48,close_overlap,84,5,18,7,0.21739130434782608,0.4166666666666667
48,dislike_overlap,85,2,21,6,0.08695652173913043,0.25
49,acq_overlap,82,6,7,19,0.46153846153846156,0.24
49,close_overlap,81,2,11,20,0.15384615384615385,0.09090909090909091
49,dislike_overlap,86,3,10,15,0.23076923076923078,0.16666666666666666
50,acq_overlap,64,10,24,16,0.29411764705882354,0.38461538461538464
50,close_overlap,59,11,23,21,0.3235294117647059,0.34375
50,dislike_overlap,60,13,21,20,0.38235294117647056,0.3939393939393939
51,acq_overlap,71,17,22,4,0.4358974358974359,0.8095238095238095
51,close_overlap,71,15,24,4,0.38461538461538464,0.7894736842105263
51,dislike_overlap,66,4,35,9,0.10256410256410256,0.3076923076923077
52,acq_overlap,52,14,31,17,0.3111111111111111,0.45161290322580644
52,close_overlap,56,14,31,13,0.3111111111111111,0.5185185185185185
52,dislike_overlap,54,3,42,15,0.06666666666666667,0.16666666666666666
53,acq_overlap,69,10,12,23,0.45454545454545453,0.30303030303030304
53,close_overlap,72,15,7,20,0.6818181818181818,0.42857142857142855
53,dislike_overlap,71,2,20,21,0.09090909090909091,0.08695652173913043
54,acq_overlap,82,13,11,8,0.5416666666666666,0.6190476190476191
54,close_overlap,70,15,9,20,0.625,0.42857142857142855
54,dislike_overlap,74,2,22,16,0.08333333333333333,0.1111111111111111
55,acq_overlap,84,4,9,17,0.3076923076923077,0.19047619047619047
55,close_overlap,87,6,7,14,0.46153846153846156,0.3
55,dislike_overlap,87,1,12,14,0.07692307692307693,0.06666666666666667
57,acq_overlap,72,9,22,11,0.2903225806451613,0.45
