sub,relationship,valence,o_none,o_both,o_self,o_other,self_percent,other_percent
1,acq_overlap,negative,23,2,2,8,0.5,0.2
1,acq_overlap,neutral,17,4,3,14,0.5714285714285714,0.2222222222222222
1,acq_overlap,positive,12,7,10,12,0.4117647058823529,0.3684210526315789
1,close_overlap,negative,28,2,2,3,0.5,0.4
1,close_overlap,neutral,22,3,4,9,0.42857142857142855,0.25
1,close_overlap,positive,9,14,3,15,0.8235294117647058,0.4827586206896552
1,dislike_overlap,negative,13,1,3,18,0.25,0.05263157894736842
1,dislike_overlap,neutral,24,1,6,7,0.14285714285714285,0.125
1,dislike_overlap,positive,19,1,16,5,0.058823529411764705,0.16666666666666666
2,acq_overlap,negative,33,0,2,0,0,NaN
2,acq_overlap,neutral,28,0,7,3,0,0
2,acq_overlap,positive,10,7,21,3,0.25,0.7
2,close_overlap,negative,25,2,0,8,1,0.2
2,close_overlap,neutral,22,6,1,9,0.8571428571428571,0.4
2,close_overlap,positive,5,23,5,8,0.8214285714285714,0.7419354838709677
2,dislike_overlap,negative,20,0,2,13,0,0
2,dislike_overlap,neutral,25,2,5,6,0.2857142857142857,0.25
2,dislike_overlap,positive,12,1,27,1,0.03571428571428571,0.5
3,acq_overlap,negative,22,4,5,4,0.4444444444444444,0.5
3,acq_overlap,neutral,22,7,4,5,0.6363636363636364,0.5833333333333334
3,acq_overlap,positive,10,12,5,14,0.7058823529411765,0.46153846153846156
3,close_overlap,negative,23,3,6,3,0.3333333333333333,0.5
3,close_overlap,neutral,25,4,7,2,0.36363636363636365,0.6666666666666666
3,close_overlap,positive,14,16,1,10,0.9411764705882353,0.6153846153846154
3,dislike_overlap,negative,15,2,7,11,0.2222222222222222,0.15384615384615385
3,dislike_overlap,neutral,20,5,6,7,0.45454545454545453,0.4166666666666667
3,dislike_overlap,positive,12,6,11,12,0.35294117647058826,0.3333333333333333
4,acq_overlap,negative,32,0,3,0,0,NaN
4,acq_overlap,neutral,33,0,3,2,0,0
4,acq_overlap,positive,18,2,4,17,0.3333333333333333,0.10526315789473684
4,close_overlap,negative,29,1,2,3,0.3333333333333333,0.25
4,close_overlap,neutral,31,0,3,4,0,0
4,close_overlap,positive,27,3,3,8,0.5,0.2727272727272727
4,dislike_overlap,negative,29,2,1,3,0.6666666666666666,0.4
4,dislike_overlap,neutral,35,0,3,0,0,NaN
