sub,acq_tot_mos,acq_IOS,acq_We_ness,acq_similar,acq_share_interest,acq_urcs_mean,dislike_tot_mos,dislike_IOS,dislike_We_ness,dislike_similar,dislike_share_interest,dislike_urcs_mean,close_tot,close_IOS,close_We_ness,close_similar,close_share_interest,close_ucrs_mean,idaq_mean,idaq_na_mean,self_percent_acq_overlap,self_percent_close_overlap,self_percent_dislike_overlap,other_percent_acq_overlap,other_percent_close_overlap,other_percent_dislike_overlap,self_percent_acq_overlap_negative,self_percent_acq_overlap_neutral,self_percent_acq_overlap_positive,self_percent_close_overlap_negative,self_percent_close_overlap_neutral,self_percent_close_overlap_positive,self_percent_dislike_overlap_negative,self_percent_dislike_overlap_neutral,self_percent_dislike_overlap_positive,other_percent_acq_overlap_negative,other_percent_acq_overlap_neutral,other_percent_acq_overlap_positive,other_percent_close_overlap_negative,other_percent_close_overlap_neutral,other_percent_close_overlap_positive,other_percent_dislike_overlap_negative,other_percent_dislike_overlap_neutral,other_percent_dislike_overlap_positive
1,4,3,2,2,3,2.583333333,1,1,1,1,2,1,72,6,6,6,6,6.583333333,2.666666667,5.8,0.464285714,0.678571429,0.107142857,0.276595745,0.413043478,0.090909091,0.5,0.571428571,0.411764706,0.5,0.428571429,0.823529412,0.25,0.142857143,0.058823529,0.2,0.222222222,0.368421053,0.4,0.25,0.482758621,0.052631579,0.125,0.166666667
2,3,1,1,2,2,2,3,1,1,1,1,1,84,4,6,6,7,5.916666667,6.733333333,5.866666667,0.189189189,0.837837838,0.081081081,0.538461538,0.553571429,0.130434783,0,0,0.25,1,0.857142857,0.821428571,0,0.285714286,0.035714286,NaN,0,0.7,0.2,0.4,0.741935484,0,0.25,0.5
3,5,3,2,3,3,1.5,127,7,1,2,3,1.75,89,4,7,5,4,5.666666667,2.733333333,5.733333333,0.621621622,0.621621622,0.351351351,0.5,0.605263158,0.302325581,0.444444444,0.636363636,0.705882353,0.333333333,0.363636364,0.941176471,0.222222222,0.454545455,0.352941176,0.5,0.583333333,0.461538462,0.5,0.666666667,0.615384615,0.153846154,0.416666667,0.333333333
4,8,1,1,1,3,4.5,5,1,1,1,1,1.416666667,54,3,5,6,6,5.416666667,3.466666667,5.933333333,0.166666667,0.333333333,0.166666667,0.095238095,0.210526316,0.222222222,0,0,0.333333333,0.333333333,0,0.5,0.666666667,0,0,NaN,0,0.105263158,0.25,0,0.272727273,0.4,NaN,0
5,18,3,2,3,4,2.75,18,5,1,2,3,2.75,96,2,6,6,6,5.5,1.8,5.8,0.163265306,0.285714286,0.12244898,0.615384615,0.636363636,0.428571429,0,0.083333333,0.259259259,0,0.166666667,0.444444444,0.3,0.166666667,0.037037037,0,0.333333333,0.777777778,0,0.5,0.8,0.428571429,0.5,0.333333333
6,5,5,4,4,4,3.833333333,65,3,2,2,2,1.833333333,53,6,6,7,7,6.916666667,5.4,5.933333333,0.357142857,0.428571429,0.142857143,0.294117647,0.315789474,0.285714286,0,0,0.625,0,0,0.75,0,0.25,0.125,0,NaN,0.3125,0,0,0.428571429,0,1,1
7,5,3,3,5,5,2.916666667,120,3,2,5,4,2.25,52,7,4,5,5,5.666666667,5.866666667,6.8,0.5,0.35,0.6,0.3125,0.291666667,0.375,NaN,0.285714286,0.615384615,NaN,0.571428571,0.230769231,NaN,0.428571429,0.692307692,NaN,0.5,0.285714286,0,0.444444444,0.3,0,0.428571429,0.45
9,4,1,5,4,4,1.416666667,4,1,1,4,5,1.5,37,3,7,5,4,6.25,3.866666667,6.2,0.111111111,0.333333333,0.111111111,0.25,0.260869565,0.153846154,0,0,0.153846154,0,0.666666667,0.307692308,0,0.333333333,0.076923077,NaN,0,0.5,0,0.333333333,0.285714286,0,0.333333333,0.333333333
10,5,3,2,2,2,3.166666667,6,3,2,1,3,3,29,7,4,3,3,5.75,1.533333333,5.933333333,0.347826087,0.47826087,0.173913043,0.285714286,0.305555556,0.148148148,0,0.285714286,0.4,0,0.142857143,0.666666667,0,0.142857143,0.2,0,0.222222222,0.4,0,0.090909091,0.434782609,0,0.2,0.428571429
12,1,3,2,3,2,2.333333333,53,3,1,3,3,1.416666667,53,7,5,5,6,6,2.2,5.666666667,0.114285714,0.342857143,0.114285714,1,0.75,0.222222222,0,0,0.181818182,0,0.181818182,0.454545455,0,0.090909091,0.136363636,NaN,NaN,1,NaN,1,0.714285714,0,0.142857143,1
13,1.5,3,2,5,5,2.833333333,16,1,1,1,1,1.5,77,4,6,7,7,6.333333333,4.466666667,6.666666667,0.421052632,0.526315789,0.052631579,0.571428571,0.285714286,0.034482759,0,0.4,0.5,0,0.4,0.666666667,0,0.2,0,NaN,0.666666667,0.545454545,0,0.25,0.32,0,0.142857143,0
14,5,1,1,7,7,3.166666667,18,1,1,1,3,1.333333333,234,4,7,7,5,6.583333333,5.2,8.333333333,0.633333333,0.633333333,0.4,0.413043478,0.404255319,0.3,0,0.333333333,0.80952381,0.333333333,0.666666667,0.666666667,0.333333333,0.666666667,0.333333333,0,0.166666667,0.566666667,0.071428571,0.363636364,0.636363636,0.071428571,0.285714286,0.583333333
15,29,1,2,2,2,1.416666667,12,3,4,4,3,5.25,52,4,7,6,6,6.5,5.266666667,6.733333333,0.228571429,0.371428571,0.257142857,0.421052632,0.448275862,0.272727273,0.25,0.3125,0.133333333,0,0.1875,0.666666667,0.75,0.125,0.266666667,0.333333333,0.5,0.333333333,0,0.5,0.476190476,0.15,0.25,0.8
